Name,Property_Title,Price,Location,Total_Area,Price_per_SQFT,Baths,Balcony
penta concept enclaveThiruverkkadu Chennai,4 BHK Flat for sale in Thiruverkkadu Chennai,1.0 Cr,penta concept enclaveThiruverkkadu Chennai,2350,4250,4,Yes
VGN Platina,2 BHK Flat for sale in Ayappakkam Chennai,40.0 L,MGR Nagar AyappakkamChennai,868,4610,3,Yes
Ultra Amaar Avenue Phase 2Choolaimedu Chennai,2 BHK Flat for sale in Choolaimedu Chennai,89.0 L,Ultra Amaar Avenue Phase 2Choolaimedu Chennai,926,9610,3,Yes
Vallalar KudilSarathi Nagar SaidapetChennai,2 BHK Flat for sale in Saidapet Chennai,63.0 L,Vallalar KudilSarathi Nagar SaidapetChennai,1090,5780,3,Yes
Shakthi Mangalambikai Apartments,3 BHK Flat for sale in Perungudi Chennai,90.0 L,Elim Nagar PerungudiChennai,1307,6880,3,Yes
Akshaya January,1 BHK Flat for sale in Senganmal Chennai,25.0 L,Senganmal Chennai,605,4130,2,Yes
Jamans,2 BHK Flat for sale in Thirumullaivoyal Chennai,49.5 L,Vaishnavi Nagar ThirumullaivoyalChennai,967,5120,3,Yes
Live GreenKattur Chennai,1 BHK Flat for sale in Kattur Chennai,29.0 L,Live GreenKattur Chennai,586,4950,2,No
Sumeru Puthur City,2 BHK Flat for sale in Selaiyur Chennai,45.0 L,Tiruvancheri SelaiyurChennai,1038,4330,3,No
Redmond Square,3 BHK Flat for sale in Sholinganallur Chennai,70.0 L,Sholinganallur Chennai,1500,4670,3,No
Ambrosia Apartments,3 BHK Flat for sale in Semmancheri Chennai,46.0 L,Semmanjeri SemmancheriChennai,1133,4060,3,Yes
Annamalai Colony SaligramamChennai,2 BHK Flat for sale in Saligramam Chennai,89.5 L,Annamalai Colony SaligramamChennai,1100,8140,3,Yes
Vn Nattrunai Thirumullaivoyal Chennai,3 BHK Flat for sale in Thirumullaivoyal Chennai,45.0 L,Vn Nattrunai Thirumullaivoyal Chennai,1024,4390,3,No
Krishna Nagar SriperumbudurChennai,3 BHK Villa for sale in Sriperumbudur Chennai,54.0 L,Krishna Nagar SriperumbudurChennai,1508,3580,3,Yes
Jones Dawn Villas by Jones Foundations,3 BHK Villa for sale in Ponmar Chennai,87.0 L,Ponmar Chennai,1782,4880,3,Yes
Swarnambigai Nagar VirugambakkamChennai,5 BHK Independent House for sale in Virugambakkam Chennai,2.5 Cr,Swarnambigai Nagar VirugambakkamChennai,2500,10000,4,Yes
Sai Dhanu RegencyRadhakrishnan Nagar AdyarChennai,2 BHK Flat for sale in Adyar Chennai,70.0 L,Sai Dhanu RegencyRadhakrishnan Nagar AdyarChennai,900,7780,3,Yes
Khurinji Zinnia,1 BHK Flat for sale in West Tambaram Chennai,26.0 L,Meenakshi Avenue West TambaramChennai,537,4840,2,Yes
Kottavakkam Chennai,2 BHK Independent House for sale in Kottavakkam Chennai,90.0 L,Kottavakkam Chennai,1292,6960,3,Yes
VGN Imperia Phase 3,3 BHK Flat for sale in Thiruverkkadu Chennai,54.0 L,Arjunamedu ThiruverkkaduChennai,1096,4930,3,No
Bharathi Nagar AyanavaramChennai,4 BHK Independent House for sale in Ayanavaram Chennai,2.4 Cr,Bharathi Nagar AyanavaramChennai,2300,10430,4,Yes
LIVEGREEN CONSTRUCTIONSSembakkam Chennai,1 BHK Flat for sale in Sembakkam Chennai,29.0 L,LIVEGREEN CONSTRUCTIONSSembakkam Chennai,586,4950,2,No
Alliance Galleria Residences,2 BHK Flat for sale in Old Pallavaram Chennai,90.0 L,Arulmurugan Nagar Old PallavaramChennai,1112,8090,3,No
Veppampattu Chennai,1 BHK Independent House for sale in Veppampattu Chennai,24.8 L,Veppampattu Chennai,560,4430,2,Yes
Shankar Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,37.0 L,Shankar Nagar PammalChennai,856,4320,3,Yes
Naveen vanagaramKanchuma Puram Vanagaram Chennai,2 BHK Flat for sale in Vanagaram  Chennai,65.0 L,Naveen vanagaramKanchuma Puram Vanagaram Chennai,1079,6020,3,Yes
LAND MARVEL KARPAGAMBALJeth Nagar Chennai,2 BHK Flat for sale in Jeth Nagar Chennai,1.2 Cr,LAND MARVEL KARPAGAMBALJeth Nagar Chennai,1100,10910,3,Yes
Krishna Apartment,3 BHK Flat for sale in Madambakkam Chennai,56.0 L,Madambakkam Chennai,1432,3910,3,Yes
Raghavendra Aishwaryam Flats,2 BHK Flat for sale in Urapakkam Chennai,45.0 L,Urapakkam Chennai,932,4830,3,Yes
Madambakkam Chennai,3 BHK Independent House for sale in Madambakkam Chennai,45.0 L,Madambakkam Chennai,1500,3000,3,Yes
Tambaram Mount West TambaramChennai,2 BHK Independent House for sale in West Tambaram Chennai,75.0 L,Tambaram Mount West TambaramChennai,1200,6250,3,Yes
Building velachery Anna Nagar Extension VelacheryChennai,1 BHK Flat for sale in Velachery Chennai,32.0 L,Building velachery Anna Nagar Extension VelacheryChennai,590,5420,2,Yes
Shri Vihar Sembakkam Chennai,4 BHK Flat for sale in Sembakkam Chennai,85.0 L,Shri Vihar Sembakkam Chennai,1570,5410,3,Yes
Indra Enclave,2 BHK Flat for sale in Medavakkam Chennai,36.0 L,Krishnaveni Nagar MedavakkamChennai,808,4460,3,No
Ma. Po. Si. Nagar ThiruvallurChennai,3 BHK Independent House for sale in Thiruvallur Chennai,50.0 L,Ma. Po. Si. Nagar ThiruvallurChennai,1582,3160,3,Yes
TNHB Colony VillivakkamChennai,4 BHK Independent House for sale in Villivakkam Chennai,2.25 Cr,TNHB Colony VillivakkamChennai,2400,9380,4,Yes
AnchorageMandavelipakkam Raja Annamalai PuramChennai,3 BHK Flat for sale in Raja Annamalai Puram Chennai,1.6 Cr,AnchorageMandavelipakkam Raja Annamalai PuramChennai,1350,11850,3,Yes
Kandasamy Nagar PorurChennai,3 BHK Independent House for sale in Porur Chennai,65.0 L,Kandasamy Nagar PorurChennai,1400,4640,3,Yes
Viswas CastleUrapakkam Chennai,2 BHK Flat for sale in Urapakkam Chennai,32.0 L,Viswas CastleUrapakkam Chennai,950,3370,3,No
Puzhal Chennai,2 BHK Independent House for sale in Puzhal Chennai,55.0 L,Puzhal Chennai,850,6470,3,Yes
Venkateshwara Nagar RamapuramChennai,2 BHK Flat for sale in Ramapuram Chennai,54.0 L,Venkateshwara Nagar RamapuramChennai,860,6280,3,No
Velachery Chennai,3 BHK Flat for sale in Velachery Chennai,79.0 L,Velachery Chennai,1300,6080,3,Yes
Jayam Villa,2 BHK Flat for sale in Raja Annamalai Puram Chennai,85.0 L,Ramakrishna Nagar Raja Annamalai PuramChennai,780,10900,2,No
Kallikuppam AmbatturChennai,2 BHK Independent House for sale in Ambattur Chennai,67.0 L,Kallikuppam AmbatturChennai,1100,6090,3,No
AGS Colony AdambakkamChennai,3 BHK Flat for sale in Adambakkam Chennai,99.0 L,AGS Colony AdambakkamChennai,1193,8300,3,No
Lakshmipuram KolathurChennai,3 BHK Independent House for sale in Kolathur Chennai,1.2 Cr,Lakshmipuram KolathurChennai,1350,8890,3,No
Veera Vanchinathan Nagar PerungudiChennai,2 BHK Flat for sale in Perungudi Chennai,75.0 L,Veera Vanchinathan Nagar PerungudiChennai,1200,6250,3,Yes
AkshayaPeriyar Nagar PeramburChennai,2 BHK Flat for sale in Perambur Chennai,63.0 L,AkshayaPeriyar Nagar PeramburChennai,946,6660,3,No
Ben Le Orchard Apartments,3 BHK Flat for sale in Anna Nagar West Chennai,88.0 L,Thirumangalam Anna Nagar WestChennai,1065,8260,3,Yes
Techcons Blue Alpha,1 BHK Flat for sale in Mudichur Chennai,26.86 L,Mudichur Chennai,580,4630,2,Yes
Ramaniyam Gauravv Sholinganallur Chennai,2 BHK Flat for sale in Sholinganallur Chennai,64.9 L,Ramaniyam Gauravv Sholinganallur Chennai,1160,5590,3,No
BSCPL Bollineni Iris,2 BHK Flat for sale in Perumbakkam Chennai,58.0 L,Arasankazhani PerumbakkamChennai,1055,5500,3,Yes
Dharan Singh Colony VadapalaniChennai,4 BHK Independent House for sale in Vadapalani Chennai,2.75 Cr,Dharan Singh Colony VadapalaniChennai,1940,14180,3,Yes
Amaar Ultra Amaar Avenue Phase 2,2 BHK Flat for sale in Choolaimedu Chennai,90.0 L,Padmanabha Nagar ChoolaimeduChennai,938,9590,3,Yes
Vasantham,3 BHK Flat for sale in Sembakkam Chennai,1.15 Cr,Maruthi Nagar SembakkamChennai,1712,6720,3,Yes
Padupakkam TriplicaneChennai,4 BHK Independent House for sale in Triplicane Chennai,2.39 Cr,Padupakkam TriplicaneChennai,1328,18000,3,Yes
TVH Svaya,2 BHK Flat for sale in Pennalur Chennai,30.0 L,Pennalur Chennai,1085,2760,3,Yes
Singaperumal Koil Chennai,1 BHK Independent House for sale in Singaperumal Koil Chennai,27.28 L,Singaperumal Koil Chennai,880,3100,3,Yes
Hiranandani Parks Apartment,3 BHK Flat for sale in Oragadam Sriperambattur Chennai,70.0 L,Oragadam Sriperambattur Chennai,1450,4830,3,Yes
Alliance Jasmine Springs,1 BHK Flat for sale in Kelambakkam Chennai,28.0 L,Kelambakkam Chennai,462,6060,2,No
RC NAVARATHNAM Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,93.0 L,RC NAVARATHNAM Sembiyan PeramburChennai,900,10330,3,No
Plaza Pristine Acres,2 BHK Flat for sale in Perumbakkam Chennai,45.0 L,Nesamani Nagar PerumbakkamChennai,904,4980,3,No
Swathy Ayyappa Flats,2 BHK Flat for sale in Kilpauk Chennai,65.0 L,Kumaran Nagar KilpaukChennai,940,6910,3,No
Tirupathi Nagar ValasaravakkamChennai,5 BHK Independent House for sale in Valasaravakkam Chennai,5.13 Cr,Tirupathi Nagar ValasaravakkamChennai,5400,9500,5,Yes
Narayanan Nagar,2 BHK Flat for sale in Ambattur Chennai,43.75 L,Ambattur Chennai,795,5500,2,Yes
Royal,2 BHK Flat for sale in Kolathur Chennai,69.0 L,Anthony Nagar KolathurChennai,990,6970,3,Yes
Amarprakash Temple Waves,2 BHK Flat for sale in Thandalam Chennai,45.0 L,Thandalam Chennai,630,7140,2,No
Golden Jubilee Flats,3 BHK Flat for sale in Anna Nagar West Chennai,1.0 Cr,Thirumangalam Anna Nagar WestChennai,1100,9090,3,Yes
 Madambakkam,2 BHK Flat for sale in Madambakkam Chennai,29.5 L,Madambakkam Chennai,598,4930,2,Yes
Nerkundram MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72.0 L,Nerkundram MogappairChennai,918,7840,3,No
Ambattur Chennai,4 BHK Independent House for sale in Ambattur Chennai,3.78 Cr,Ambattur Chennai,3300,11450,1,Yes
Kamakshi Nagar AnakaputhurChennai,1 BHK Flat for sale in Anakaputhur Chennai,15.0 L,Kamakshi Nagar AnakaputhurChennai,490,3060,2,Yes
Prestige Bella Vista,3 BHK Flat for sale in Iyyappanthangal Chennai,1.3 Cr,Iyyappanthangal Chennai,1791,7260,3,Yes
Arun Excello Excello Town House,1 RK Flat for sale in Oragadam Sriperambattur Chennai,18.0 L,Oragadam Sriperambattur Chennai,500,3600,2,No
Rajparis Harmony,3 BHK Flat for sale in Medavakkam Chennai,78.0 L,Medavakkam Chennai,1512,5160,3,No
BHARATHI Thirumullaivoyal Chennai,2 BHK Flat for sale in Thirumullaivoyal Chennai,48.5 L,BHARATHI Thirumullaivoyal Chennai,967,5010,3,Yes
Ponmar Chennai,2 BHK Villa for sale in Ponmar Chennai,72.0 L,Ponmar Chennai,1669,4310,3,Yes
Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,36.0 L,Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1065,3380,3,No
Ozone Metrozone,4 BHK Flat for sale in Anna Nagar West Chennai,3.0 Cr,Thirumangalam Anna Nagar WestChennai,2661,11270,4,Yes
K G Signature CityPanneer Nagar MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72.0 L,K G Signature CityPanneer Nagar MogappairChennai,1000,7200,3,No
Chinnaiyan Colony PeramburChennai,10 BHK Independent House for sale in Perambur Chennai,6.5 Cr,Chinnaiyan Colony PeramburChennai,8000,8130,1,Yes
TNHB LIG Block,1 BHK Flat for sale in Ayappakkam Chennai,17.0 L,Annanur AyappakkamChennai,640,2660,2,Yes
 Balambal Apartments,2 BHK Flat for sale in Virugambakkam Chennai,58.5 L,L & T Colony Phase II VirugambakkamChennai,960,6090,3,No
Dwaraka flatsBhavani Nagar AyappakkamChennai,2 BHK Flat for sale in Ayappakkam Chennai,58.5 L,Dwaraka flatsBhavani Nagar AyappakkamChennai,1168,5010,3,Yes
Surya Nagar KotturpuramChennai,3 BHK Flat for sale in Kotturpuram Chennai,2.3 Cr,Surya Nagar KotturpuramChennai,1650,13940,3,Yes
ert  aprtmentPeriyar Nagar ChromepetChennai,2 BHK Flat for sale in Chromepet Chennai,40.0 L,ert  aprtmentPeriyar Nagar ChromepetChennai,763,5240,2,No
Hansa Abhinav,2 BHK Flat for sale in Tiruvottiyur Chennai,45.0 L,Tiruvottiyur Chennai,836,5380,3,No
ADWAITH SRINIVASAN FLATNanganallur Chennai,2 BHK Flat for sale in Nanganallur Chennai,40.4 L,ADWAITH SRINIVASAN FLATNanganallur Chennai,518,7800,2,No
Vijaya Gardens ValasaravakkamChennai,6 BHK Independent House for sale in Valasaravakkam Chennai,3.0 Cr,Vijaya Gardens ValasaravakkamChennai,3500,8570,4,Yes
Gothi Flats,2 BHK Flat for sale in West Mambalam Chennai,56.0 L,Ramakrishna Puram West MambalamChennai,620,9030,2,Yes
Veppampattu Chennai,2 BHK Villa for sale in Veppampattu Chennai,30.0 L,Veppampattu Chennai,1000,3000,3,Yes
GR Natarajan Sundaravedam,3 BHK Flat for sale in T Nagar Chennai,2.75 Cr,Parthasarathy Puram T NagarChennai,1495,18390,3,No
Mathangi ApartmentsSamiyar Madam KodambakkamChennai,2 BHK Flat for sale in Kodambakkam Chennai,45.0 L,Mathangi ApartmentsSamiyar Madam KodambakkamChennai,560,8040,2,Yes
Mango FarmNatesan Nagar MadhavaramChennai,2 BHK Flat for sale in Madhavaram Chennai,45.0 L,Mango FarmNatesan Nagar MadhavaramChennai,831,5420,3,Yes
Srivatsam flats Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,50.0 L,Srivatsam flats Sembiyan PeramburChennai,853,5860,3,Yes
Alacrity Sangath,2 BHK Flat for sale in Velachery Chennai,60.0 L,Velachery Chennai,994,6040,3,Yes
Periyar Nagar TiruvottiyurChennai,2 BHK Independent House for sale in Tiruvottiyur Chennai,1.1 Cr,Periyar Nagar TiruvottiyurChennai,1800,6110,3,Yes
Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,2 BHK Flat for sale in Ayanavaram Chennai,41.0 L,Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,547,7500,2,Yes
Mylapore Chennai,2 BHK Flat for sale in Mylapore Chennai,45.0 L,Mylapore Chennai,730,6160,2,No
JB HOMESVishnu Nagar West TambaramChennai,2 BHK Flat for sale in West Tambaram Chennai,33.0 L,JB HOMESVishnu Nagar West TambaramChennai,920,3590,3,Yes
BSR Nerkundram,4 BHK Independent House for sale in Koyambedu Chennai,1.15 Cr,Tirumalai Nagar KoyambeduChennai,1400,8210,3,No
Mahindra Happinest,2 BHK Flat for sale in Avadi Chennai,32.0 L,Avadi Chennai,667,4800,2,No
Veppampattu Chennai,2 BHK Independent House for sale in Veppampattu Chennai,39.0 L,Veppampattu Chennai,1000,3900,3,No
Sravan Zebulon,2 BHK Flat for sale in Madipakkam Chennai,54.5 L,Ram Nagar MadipakkamChennai,850,6410,3,Yes
Leela Towers KovilambakamRose Nagar KovilambakkamChennai,2 BHK Flat for sale in Kovilambakkam Chennai,45.0 L,Leela Towers KovilambakamRose Nagar KovilambakkamChennai,951,4730,3,Yes
My Homes Nakshatra,3 BHK Flat for sale in Perumbakkam Chennai,77.0 L,Cheran Nagar PerumbakkamChennai,1380,5580,3,Yes
Annamalai Colony SaligramamChennai,3 BHK Flat for sale in Saligramam Chennai,1.1 Cr,Annamalai Colony SaligramamChennai,1196,9200,3,No
Ambattur Chennai,3 BHK Independent House for sale in Ambattur Chennai,4.2 Cr,Ambattur Chennai,4800,8750,5,Yes
Jubliee Residences,2 BHK Flat for sale in Moolakazhani Chennai,36.5 L,Moolakazhani Chennai,690,5290,2,Yes
Ashwanth Vedas,2 BHK Flat for sale in Kolathur Chennai,60.0 L,Lakshmipuram KolathurChennai,982,6110,3,No
Guduvancheri Chennai,2 BHK Independent House for sale in Guduvancheri Chennai,36.5 L,Guduvancheri Chennai,600,6080,2,No
Iswaryam FlatsVOC Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,30.0 L,Iswaryam FlatsVOC Nagar PammalChennai,770,3900,2,No
Lake View Apartment,2 BHK Flat for sale in Mathur Chennai,39.5 L,TNHB Layout MathurChennai,840,4700,3,Yes
TK Jasmine Grove,3 BHK Independent House for sale in Mahindra World City Chennai,39.0 L,Mahindra World City Chennai,1650,2360,3,Yes
Sai sivamThirumangalam Anna Nagar WestChennai,3 BHK Flat for sale in Anna Nagar West Chennai,1.53 Cr,Sai sivamThirumangalam Anna Nagar WestChennai,1340,11420,3,Yes
Adityaram Nagar Phase 5,4 BHK Villa for sale in Panaiyur Chennai,2.6 Cr,Adityaram Nagar PanaiyurChennai,3500,7430,5,Yes
CasaGrand Monte Carlo,3 BHK Flat for sale in Saidapet Chennai,2.44 Cr,Gotha Medu Housing Board SaidapetChennai,1881,12970,3,Yes
Pacifica Happiness Towers,4 BHK Flat for sale in Padur Chennai,1.25 Cr,Padur Chennai,2232,5600,4,Yes
Pacifica Aurum Villas,4 BHK Villa for sale in Padur Chennai,1.4 Cr,Padur Chennai,2117,6610,4,Yes
Godrej Palm Grove,3 BHK Flat for sale in Chembarambakkam Chennai,94.6 L,Chembarambakkam Chennai,1426,6630,3,No
Jain Inseli Park,2 BHK Flat for sale in Padur Chennai,60.0 L,Padur Chennai,1121,5350,3,Yes
Pacifica Pride Towers,2 BHK Flat for sale in Padur Chennai,67.0 L,Padur Chennai,1261,5310,3,No
Prestige Courtyards by Prestige Estates Projects Ltd.,3 BHK Flat for sale in Sholinganallur Chennai,1.32 Cr,Sholinganallur Chennai,1689,7820,3,Yes
TVS Flourish ,2 BHK Flat for sale in Padappai Chennai,45.0 L,Padappai Chennai,886,5080,3,No
Purva Windermere,1 RK Flat for sale in Pallikaranai Chennai,45.0 L,Pallikaranai Chennai,620,7260,2,No
Golden Opulence by Golden Homes,2 BHK Flat for sale in Poonamallee Chennai,60.0 L,Poonamallee Chennai,1093,5490,3,Yes
TVS Green Acres,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,70.0 L,Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1047,6680,3,No
Casagrand Cherry Pick,3 BHK Flat for sale in Perumbakkam Chennai,85.0 L,Arasankazhani PerumbakkamChennai,1559,5450,3,Yes
MP Montana,2 BHK Flat for sale in Thiruneermalai Chennai,50.0 L,Manikandan Nagar ThiruneermalaiChennai,853,5860,3,No
SSM Nagar,3 BHK Flat for sale in Perungalathur Chennai,52.0 L,Perungalathur Chennai,1317,3950,3,No
Alliance Galleria Residences,1 BHK Flat for sale in Old Pallavaram Chennai,52.0 L,Arulmurugan Nagar Old PallavaramChennai,618,8410,2,No
Golden Luxury Villas by Golden Homes,3 BHK Villa for sale in Ekkatuthangal Chennai,2.9 Cr,Ekkatuthangal Chennai,1200,24170,3,No
Aurum Villas,3 BHK Villa for sale in Padur Chennai,1.65 Cr,Padur Chennai,2150,7670,4,Yes
Mahindra Nova,2 BHK Flat for sale in Chettipunyam Chennai,29.0 L,Chettipunyam Chennai,604,4800,2,Yes
Chettipunyam Chennai,2 BHK Flat for sale in Chettipunyam Chennai,38.0 L,Chettipunyam Chennai,836,4540,3,No
Kochar Neetu Arjun Garden,1 BHK Flat for sale in Gerugambakkam Chennai,72.0 L,Bharathi Nagar GerugambakkamChennai,1009,7130,3,Yes
CasaGrand Primera,1 RK Flat for sale in Manapakkam Chennai,47.0 L,Periya Palayatamman Nagar ManapakkamChennai,425,11060,2,Yes
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45.0 L,Kundrathur Chennai,711,6330,2,No
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,1.25 Cr,Oragadam Ambattur Chennai,1545,8090,3,Yes
Silversky Lakeside3,3 BHK Flat for sale in Puzhal Chennai,88.41 L,New Central Jail PuzhalChennai,1551,5700,3,No
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,80.0 L,Oragadam Ambattur Chennai,1352,5920,3,No
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45.0 L,Kundrathur Chennai,711,6330,2,Yes
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45.0 L,Kundrathur Chennai,711,6330,2,No
Sai Navarathinam,2 BHK Flat for sale in Korattur Chennai,72.0 L,Korattur Tank KoratturChennai,961,7490,3,No
Jubliee Residences,1 BHK Flat for sale in Moolakazhani Chennai,24.0 L,Moolakazhani Chennai,482,4980,2,Yes
CasaGrand Savoye,2 BHK Flat for sale in Karapakkam Chennai,72.0 L,Karapakkam Chennai,1037,6940,3,No
Pacifica Aurum Villas by Pacifica Companies,4 BHK Flat for sale in Padur Chennai,1.5 Cr,Padur Chennai,2200,6820,4,Yes
Karuppaswamy Tulsi Apartment,2 BHK Flat for sale in Porur Chennai,55.0 L,Buddhar Colony PorurChennai,1080,5090,3,Yes
Altis Ashraya,2 BHK Flat for sale in Mangadu Chennai,63.0 L,MGR Nagar MangaduChennai,970,6490,3,No
KG Signature City,1 BHK Flat for sale in Mogappair Chennai,42.0 L,Panneer Nagar MogappairChennai,620,6770,2,No
KG Earth Homes,1 BHK Flat for sale in Siruseri Chennai,19.5 L,Siruseri Chennai,570,3420,2,Yes
MP Urban,2 BHK Flat for sale in Anakaputhur Chennai,55.0 L,Pasumpon Nagar AnakaputhurChennai,940,5850,3,Yes
Casagrand Arena,3 BHK Villa for sale in Oragadam Sriperambattur Chennai,99.0 L,Oragadam Sriperambattur Chennai,1497,6610,3,No
Akshaya Today,2 BHK Flat for sale in Senganmal Chennai,42.0 L,Senganmal Chennai,986,4260,3,No
REVOLUTION ONE by Urbanrise,1 RK Flat for sale in Padur Chennai,20.5 L,Padur Chennai,353,5810,1,No
Akshaya Today,1 RK Flat for sale in Senganmal Chennai,27.0 L,Senganmal Chennai,613,4400,2,Yes
Mahindra Nova,1 BHK Flat for sale in Chettipunyam Chennai,24.0 L,Chettipunyam Chennai,595,4030,2,Yes
Sai Enclave Kumananchavadi Chennai,2 BHK Flat for sale in Kumananchavadi Chennai,38.0 L,Sai Enclave Kumananchavadi Chennai,710,5350,2,No
ramus redidencyKK Nagar Chennai,2 BHK Flat for sale in KK Nagar Chennai,1.17 Cr,ramus redidencyKK Nagar Chennai,980,11940,3,No
Nedunkundram Chennai,2 BHK Villa for sale in Nedunkundram Chennai,60.0 L,Nedunkundram Chennai,650,9230,2,No
Twin Courtz,2 BHK Flat for sale in Perungudi Chennai,75.75 L,Govinda Swamy Nagar PerungudiChennai,1080,7010,3,Yes
Housing TNHB Colony VillivakkamChennai,3 BHK Flat for sale in Villivakkam Chennai,75.0 L,Housing TNHB Colony VillivakkamChennai,1400,5360,3,No
 Coral Enclave,1 BHK Flat for sale in Chromepet Chennai,38.0 L,Periyar Nagar ChromepetChennai,700,5430,2,No
Kalyanapuram AmbatturChennai,2 BHK Flat for sale in Ambattur Chennai,55.0 L,Kalyanapuram AmbatturChennai,840,6550,3,No
SRI DEVI NEDILDrivers Colony T NagarChennai,3 BHK Flat for sale in T Nagar Chennai,3.8 Cr,SRI DEVI NEDILDrivers Colony T NagarChennai,1987,19120,3,Yes
TAPAST Nagar Chennai,3 BHK Flat for sale in T Nagar Chennai,2.5 Cr,TAPAST Nagar Chennai,1484,16850,3,Yes
AKB home Selaiyur Chennai,2 BHK Flat for sale in Selaiyur Chennai,33.3 L,AKB home Selaiyur Chennai,801,4160,3,No
india builderKathiravan Colony Anna NagarChennai,3 BHK Flat for sale in Anna Nagar Chennai,2.25 Cr,india builderKathiravan Colony Anna NagarChennai,1461,15400,3,No
Cheran Nagar PerumbakkamChennai,3 BHK Villa for sale in Perumbakkam Chennai,85.0 L,Cheran Nagar PerumbakkamChennai,1290,6590,3,No
