Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City,Price_Growth
CasaGrand Vistaaz,3 BHK Villa for sale in Kolapakkam - Vandalur Chennai,108,Kolapakkam - Vandalur Chennai,1566,6900,3,0,3 BHK,Chennai,124.2
penta concept enclaveThiruverkkadu Chennai,4 BHK Flat for sale in Thiruverkkadu Chennai,100,penta concept enclaveThiruverkkadu Chennai,2350,4250,4,1,4 BHK,Chennai,115
VGN Platina,2 BHK Flat for sale in Ayappakkam Chennai,40,MGR Nagar AyappakkamChennai,868,4610,3,1,2 BHK,Chennai,46
Ultra Amaar Avenue Phase 2Choolaimedu Chennai,2 BHK Flat for sale in Choolaimedu Chennai,89,Ultra Amaar Avenue Phase 2Choolaimedu Chennai,926,9610,3,1,2 BHK,Chennai,102.35
Vallalar KudilSarathi Nagar SaidapetChennai,2 BHK Flat for sale in Saidapet Chennai,63,Vallalar KudilSarathi Nagar SaidapetChennai,1090,5780,3,1,2 BHK,Chennai,72.45
Shakthi Mangalambikai Apartments,3 BHK Flat for sale in Perungudi Chennai,90,Elim Nagar PerungudiChennai,1307,6880,3,1,3 BHK,Chennai,103.5
Akshaya January,1 BHK Flat for sale in Senganmal Chennai,25,Senganmal Chennai,605,4130,2,1,1 BHK,Chennai,28.75
Jamans,2 BHK Flat for sale in Thirumullaivoyal Chennai,49,Vaishnavi Nagar ThirumullaivoyalChennai,967,5120,3,1,2 BHK,Chennai,56.35
Live GreenKattur Chennai,1 BHK Flat for sale in Kattur Chennai,29,Live GreenKattur Chennai,586,4950,2,0,1 BHK,Chennai,33.35
Sumeru Puthur City,2 BHK Flat for sale in Selaiyur Chennai,45,Tiruvancheri SelaiyurChennai,1038,4330,3,0,2 BHK,Chennai,51.75
Redmond Square,3 BHK Flat for sale in Sholinganallur Chennai,70,Sholinganallur Chennai,1500,4670,3,0,3 BHK,Chennai,80.5
Ambrosia Apartments,3 BHK Flat for sale in Semmancheri Chennai,46,Semmanjeri SemmancheriChennai,1133,4060,3,1,3 BHK,Chennai,52.9
Annamalai Colony SaligramamChennai,2 BHK Flat for sale in Saligramam Chennai,89,Annamalai Colony SaligramamChennai,1100,8140,3,1,2 BHK,Chennai,102.35
Vn Nattrunai Thirumullaivoyal Chennai,3 BHK Flat for sale in Thirumullaivoyal Chennai,45,Vn Nattrunai Thirumullaivoyal Chennai,1024,4390,3,0,3 BHK,Chennai,51.75
Krishna Nagar SriperumbudurChennai,3 BHK Villa for sale in Sriperumbudur Chennai,54,Krishna Nagar SriperumbudurChennai,1508,3580,3,1,3 BHK,Chennai,62.1
Jones Dawn Villas by Jones Foundations,3 BHK Villa for sale in Ponmar Chennai,87,Ponmar Chennai,1782,4880,3,1,3 BHK,Chennai,100.05
Swarnambigai Nagar VirugambakkamChennai,5 BHK Independent House for sale in Virugambakkam Chennai,250,Swarnambigai Nagar VirugambakkamChennai,2500,10000,4,1,5 BHK,Chennai,287.5
Sai Dhanu RegencyRadhakrishnan Nagar AdyarChennai,2 BHK Flat for sale in Adyar Chennai,70,Sai Dhanu RegencyRadhakrishnan Nagar AdyarChennai,900,7780,3,1,2 BHK,Chennai,80.5
Khurinji Zinnia,1 BHK Flat for sale in West Tambaram Chennai,26,Meenakshi Avenue West TambaramChennai,537,4840,2,1,1 BHK,Chennai,29.9
Kottavakkam Chennai,2 BHK Independent House for sale in Kottavakkam Chennai,90,Kottavakkam Chennai,1292,6960,3,1,2 BHK,Chennai,103.5
VGN Imperia Phase 3,3 BHK Flat for sale in Thiruverkkadu Chennai,54,Arjunamedu ThiruverkkaduChennai,1096,4930,3,0,3 BHK,Chennai,62.1
Bharathi Nagar AyanavaramChennai,4 BHK Independent House for sale in Ayanavaram Chennai,240,Bharathi Nagar AyanavaramChennai,2300,10430,4,1,4 BHK,Chennai,276
LIVEGREEN CONSTRUCTIONSSembakkam Chennai,1 BHK Flat for sale in Sembakkam Chennai,29,LIVEGREEN CONSTRUCTIONSSembakkam Chennai,586,4950,2,0,1 BHK,Chennai,33.35
Alliance Galleria Residences,2 BHK Flat for sale in Old Pallavaram Chennai,90,Arulmurugan Nagar Old PallavaramChennai,1112,8090,3,0,2 BHK,Chennai,103.5
Veppampattu Chennai,1 BHK Independent House for sale in Veppampattu Chennai,24,Veppampattu Chennai,560,4430,2,1,1 BHK,Chennai,27.6
Shankar Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,37,Shankar Nagar PammalChennai,856,4320,3,1,2 BHK,Chennai,42.55
Naveen vanagaramKanchuma Puram Vanagaram Chennai,2 BHK Flat for sale in Vanagaram  Chennai,65,Naveen vanagaramKanchuma Puram Vanagaram Chennai,1079,6020,3,1,2 BHK,Chennai,74.75
LAND MARVEL KARPAGAMBALJeth Nagar Chennai,2 BHK Flat for sale in Jeth Nagar Chennai,120,LAND MARVEL KARPAGAMBALJeth Nagar Chennai,1100,10910,3,1,2 BHK,Chennai,138
Krishna Apartment,3 BHK Flat for sale in Madambakkam Chennai,56,Madambakkam Chennai,1432,3910,3,1,3 BHK,Chennai,64.4
Raghavendra Aishwaryam Flats,2 BHK Flat for sale in Urapakkam Chennai,45,Urapakkam Chennai,932,4830,3,1,2 BHK,Chennai,51.75
Madambakkam Chennai,3 BHK Independent House for sale in Madambakkam Chennai,45,Madambakkam Chennai,1500,3000,3,1,3 BHK,Chennai,51.75
Tambaram Mount West TambaramChennai,2 BHK Independent House for sale in West Tambaram Chennai,75,Tambaram Mount West TambaramChennai,1200,6250,3,1,2 BHK,Chennai,86.25
Building velachery Anna Nagar Extension VelacheryChennai,1 BHK Flat for sale in Velachery Chennai,32,Building velachery Anna Nagar Extension VelacheryChennai,590,5420,2,1,1 BHK,Chennai,36.8
Shri Vihar Sembakkam Chennai,4 BHK Flat for sale in Sembakkam Chennai,85,Shri Vihar Sembakkam Chennai,1570,5410,3,1,4 BHK,Chennai,97.75
Indra Enclave,2 BHK Flat for sale in Medavakkam Chennai,36,Krishnaveni Nagar MedavakkamChennai,808,4460,3,0,2 BHK,Chennai,41.4
Ma. Po. Si. Nagar ThiruvallurChennai,3 BHK Independent House for sale in Thiruvallur Chennai,50,Ma. Po. Si. Nagar ThiruvallurChennai,1582,3160,3,1,3 BHK,Chennai,57.5
TNHB Colony VillivakkamChennai,4 BHK Independent House for sale in Villivakkam Chennai,225,TNHB Colony VillivakkamChennai,2400,9380,4,1,4 BHK,Chennai,258.75
AnchorageMandavelipakkam Raja Annamalai PuramChennai,3 BHK Flat for sale in Raja Annamalai Puram Chennai,160,AnchorageMandavelipakkam Raja Annamalai PuramChennai,1350,11850,3,1,3 BHK,Chennai,184
Kandasamy Nagar PorurChennai,3 BHK Independent House for sale in Porur Chennai,65,Kandasamy Nagar PorurChennai,1400,4640,3,1,3 BHK,Chennai,74.75
Viswas CastleUrapakkam Chennai,2 BHK Flat for sale in Urapakkam Chennai,32,Viswas CastleUrapakkam Chennai,950,3370,3,0,2 BHK,Chennai,36.8
Puzhal Chennai,2 BHK Independent House for sale in Puzhal Chennai,55,Puzhal Chennai,850,6470,3,1,2 BHK,Chennai,63.25
Venkateshwara Nagar RamapuramChennai,2 BHK Flat for sale in Ramapuram Chennai,54,Venkateshwara Nagar RamapuramChennai,860,6280,3,0,2 BHK,Chennai,62.1
Velachery Chennai,3 BHK Flat for sale in Velachery Chennai,79,Velachery Chennai,1300,6080,3,1,3 BHK,Chennai,90.85
Jayam Villa,2 BHK Flat for sale in Raja Annamalai Puram Chennai,85,Ramakrishna Nagar Raja Annamalai PuramChennai,780,10900,2,0,2 BHK,Chennai,97.75
Kallikuppam AmbatturChennai,2 BHK Independent House for sale in Ambattur Chennai,67,Kallikuppam AmbatturChennai,1100,6090,3,0,2 BHK,Chennai,77.05
AGS Colony AdambakkamChennai,3 BHK Flat for sale in Adambakkam Chennai,99,AGS Colony AdambakkamChennai,1193,8300,3,0,3 BHK,Chennai,113.85
Lakshmipuram KolathurChennai,3 BHK Independent House for sale in Kolathur Chennai,120,Lakshmipuram KolathurChennai,1350,8890,3,0,3 BHK,Chennai,138
Veera Vanchinathan Nagar PerungudiChennai,2 BHK Flat for sale in Perungudi Chennai,75,Veera Vanchinathan Nagar PerungudiChennai,1200,6250,3,1,2 BHK,Chennai,86.25
AkshayaPeriyar Nagar PeramburChennai,2 BHK Flat for sale in Perambur Chennai,63,AkshayaPeriyar Nagar PeramburChennai,946,6660,3,0,2 BHK,Chennai,72.45
Ben Le Orchard Apartments,3 BHK Flat for sale in Anna Nagar West Chennai,88,Thirumangalam Anna Nagar WestChennai,1065,8260,3,1,3 BHK,Chennai,101.2
Techcons Blue Alpha,1 BHK Flat for sale in Mudichur Chennai,26,Mudichur Chennai,580,4630,2,1,1 BHK,Chennai,29.9
Ramaniyam Gauravv Sholinganallur Chennai,2 BHK Flat for sale in Sholinganallur Chennai,64,Ramaniyam Gauravv Sholinganallur Chennai,1160,5590,3,0,2 BHK,Chennai,73.6
BSCPL Bollineni Iris,2 BHK Flat for sale in Perumbakkam Chennai,58,Arasankazhani PerumbakkamChennai,1055,5500,3,1,2 BHK,Chennai,66.7
Dharan Singh Colony VadapalaniChennai,4 BHK Independent House for sale in Vadapalani Chennai,275,Dharan Singh Colony VadapalaniChennai,1940,14180,3,1,4 BHK,Chennai,316.25
Amaar Ultra Amaar Avenue Phase 2,2 BHK Flat for sale in Choolaimedu Chennai,90,Padmanabha Nagar ChoolaimeduChennai,938,9590,3,1,2 BHK,Chennai,103.5
Vasantham,3 BHK Flat for sale in Sembakkam Chennai,115,Maruthi Nagar SembakkamChennai,1712,6720,3,1,3 BHK,Chennai,132.25
Padupakkam TriplicaneChennai,4 BHK Independent House for sale in Triplicane Chennai,239,Padupakkam TriplicaneChennai,1328,18000,3,1,4 BHK,Chennai,274.85
TVH Svaya,2 BHK Flat for sale in Pennalur Chennai,30,Pennalur Chennai,1085,2760,3,1,2 BHK,Chennai,34.5
Singaperumal Koil Chennai,1 BHK Independent House for sale in Singaperumal Koil Chennai,27,Singaperumal Koil Chennai,880,3100,3,1,1 BHK,Chennai,31.05
Hiranandani Parks Apartment,3 BHK Flat for sale in Oragadam Sriperambattur Chennai,70,Oragadam Sriperambattur Chennai,1450,4830,3,1,3 BHK,Chennai,80.5
Alliance Jasmine Springs,1 BHK Flat for sale in Kelambakkam Chennai,28,Kelambakkam Chennai,462,6060,2,0,1 BHK,Chennai,32.2
RC NAVARATHNAM Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,93,RC NAVARATHNAM Sembiyan PeramburChennai,900,10330,3,0,2 BHK,Chennai,106.95
Plaza Pristine Acres,2 BHK Flat for sale in Perumbakkam Chennai,45,Nesamani Nagar PerumbakkamChennai,904,4980,3,0,2 BHK,Chennai,51.75
Swathy Ayyappa Flats,2 BHK Flat for sale in Kilpauk Chennai,65,Kumaran Nagar KilpaukChennai,940,6910,3,0,2 BHK,Chennai,74.75
Tirupathi Nagar ValasaravakkamChennai,5 BHK Independent House for sale in Valasaravakkam Chennai,513,Tirupathi Nagar ValasaravakkamChennai,5400,9500,5,1,5 BHK,Chennai,589.95
Narayanan Nagar,2 BHK Flat for sale in Ambattur Chennai,43,Ambattur Chennai,795,5500,2,1,2 BHK,Chennai,49.45
Royal,2 BHK Flat for sale in Kolathur Chennai,69,Anthony Nagar KolathurChennai,990,6970,3,1,2 BHK,Chennai,79.35
Amarprakash Temple Waves,2 BHK Flat for sale in Thandalam Chennai,45,Thandalam Chennai,630,7140,2,0,2 BHK,Chennai,51.75
Golden Jubilee Flats,3 BHK Flat for sale in Anna Nagar West Chennai,100,Thirumangalam Anna Nagar WestChennai,1100,9090,3,1,3 BHK,Chennai,115
Madambakkam,2 BHK Flat for sale in Madambakkam Chennai,29,Madambakkam Chennai,598,4930,2,1,2 BHK,Chennai,33.35
Nerkundram MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72,Nerkundram MogappairChennai,918,7840,3,0,2 BHK,Chennai,82.8
Ambattur Chennai,4 BHK Independent House for sale in Ambattur Chennai,378,Ambattur Chennai,3300,11450,1,1,4 BHK,Chennai,434.7
Kamakshi Nagar AnakaputhurChennai,1 BHK Flat for sale in Anakaputhur Chennai,15,Kamakshi Nagar AnakaputhurChennai,490,3060,2,1,1 BHK,Chennai,17.25
Prestige Bella Vista,3 BHK Flat for sale in Iyyappanthangal Chennai,130,Iyyappanthangal Chennai,1791,7260,3,1,3 BHK,Chennai,149.5
Arun Excello Excello Town House,1 RK Flat for sale in Oragadam Sriperambattur Chennai,18,Oragadam Sriperambattur Chennai,500,3600,2,0,1 RK,Chennai,20.7
Rajparis Harmony,3 BHK Flat for sale in Medavakkam Chennai,78,Medavakkam Chennai,1512,5160,3,0,3 BHK,Chennai,89.7
BHARATHI Thirumullaivoyal Chennai,2 BHK Flat for sale in Thirumullaivoyal Chennai,48,BHARATHI Thirumullaivoyal Chennai,967,5010,3,1,2 BHK,Chennai,55.2
Ponmar Chennai,2 BHK Villa for sale in Ponmar Chennai,72,Ponmar Chennai,1669,4310,3,1,2 BHK,Chennai,82.8
Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,36,Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1065,3380,3,0,2 BHK,Chennai,41.4
Ozone Metrozone,4 BHK Flat for sale in Anna Nagar West Chennai,300,Thirumangalam Anna Nagar WestChennai,2661,11270,4,1,4 BHK,Chennai,345
K G Signature CityPanneer Nagar MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72,K G Signature CityPanneer Nagar MogappairChennai,1000,7200,3,0,2 BHK,Chennai,82.8
Chinnaiyan Colony PeramburChennai,10 BHK Independent House for sale in Perambur Chennai,650,Chinnaiyan Colony PeramburChennai,8000,8130,1,1,10 BHK,Chennai,747.5
TNHB LIG Block,1 BHK Flat for sale in Ayappakkam Chennai,17,Annanur AyappakkamChennai,640,2660,2,1,1 BHK,Chennai,19.55
Balambal Apartments,2 BHK Flat for sale in Virugambakkam Chennai,58,L & T Colony Phase II VirugambakkamChennai,960,6090,3,0,2 BHK,Chennai,66.7
Dwaraka flatsBhavani Nagar AyappakkamChennai,2 BHK Flat for sale in Ayappakkam Chennai,58,Dwaraka flatsBhavani Nagar AyappakkamChennai,1168,5010,3,1,2 BHK,Chennai,66.7
Surya Nagar KotturpuramChennai,3 BHK Flat for sale in Kotturpuram Chennai,230,Surya Nagar KotturpuramChennai,1650,13940,3,1,3 BHK,Chennai,264.5
ert  aprtmentPeriyar Nagar ChromepetChennai,2 BHK Flat for sale in Chromepet Chennai,40,ert  aprtmentPeriyar Nagar ChromepetChennai,763,5240,2,0,2 BHK,Chennai,46
Hansa Abhinav,2 BHK Flat for sale in Tiruvottiyur Chennai,45,Tiruvottiyur Chennai,836,5380,3,0,2 BHK,Chennai,51.75
ADWAITH SRINIVASAN FLATNanganallur Chennai,2 BHK Flat for sale in Nanganallur Chennai,40,ADWAITH SRINIVASAN FLATNanganallur Chennai,518,7800,2,0,2 BHK,Chennai,46
Vijaya Gardens ValasaravakkamChennai,6 BHK Independent House for sale in Valasaravakkam Chennai,300,Vijaya Gardens ValasaravakkamChennai,3500,8570,4,1,6 BHK,Chennai,345
Gothi Flats,2 BHK Flat for sale in West Mambalam Chennai,56,Ramakrishna Puram West MambalamChennai,620,9030,2,1,2 BHK,Chennai,64.4
Veppampattu Chennai,2 BHK Villa for sale in Veppampattu Chennai,30,Veppampattu Chennai,1000,3000,3,1,2 BHK,Chennai,34.5
GR Natarajan Sundaravedam,3 BHK Flat for sale in T Nagar Chennai,275,Parthasarathy Puram T NagarChennai,1495,18390,3,0,3 BHK,Chennai,316.25
Mathangi ApartmentsSamiyar Madam KodambakkamChennai,2 BHK Flat for sale in Kodambakkam Chennai,45,Mathangi ApartmentsSamiyar Madam KodambakkamChennai,560,8040,2,1,2 BHK,Chennai,51.75
Mango FarmNatesan Nagar MadhavaramChennai,2 BHK Flat for sale in Madhavaram Chennai,45,Mango FarmNatesan Nagar MadhavaramChennai,831,5420,3,1,2 BHK,Chennai,51.75
Srivatsam flats Sembiyan PeramburChennai,2 BHK Flat for sale in Perambur Chennai,50,Srivatsam flats Sembiyan PeramburChennai,853,5860,3,1,2 BHK,Chennai,57.5
Alacrity Sangath,2 BHK Flat for sale in Velachery Chennai,60,Velachery Chennai,994,6040,3,1,2 BHK,Chennai,69
Periyar Nagar TiruvottiyurChennai,2 BHK Independent House for sale in Tiruvottiyur Chennai,110,Periyar Nagar TiruvottiyurChennai,1800,6110,3,1,2 BHK,Chennai,126.5
Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,2 BHK Flat for sale in Ayanavaram Chennai,41,Ishwarya malar apartments Kuppusamy Nagar AyanavaramChennai,547,7500,2,1,2 BHK,Chennai,47.15
Mylapore Chennai,2 BHK Flat for sale in Mylapore Chennai,45,Mylapore Chennai,730,6160,2,0,2 BHK,Chennai,51.75
JB HOMESVishnu Nagar West TambaramChennai,2 BHK Flat for sale in West Tambaram Chennai,33,JB HOMESVishnu Nagar West TambaramChennai,920,3590,3,1,2 BHK,Chennai,37.95
BSR Nerkundram,4 BHK Independent House for sale in Koyambedu Chennai,115,Tirumalai Nagar KoyambeduChennai,1400,8210,3,0,4 BHK,Chennai,132.25
Mahindra Happinest,2 BHK Flat for sale in Avadi Chennai,32,Avadi Chennai,667,4800,2,0,2 BHK,Chennai,36.8
Veppampattu Chennai,2 BHK Independent House for sale in Veppampattu Chennai,39,Veppampattu Chennai,1000,3900,3,0,2 BHK,Chennai,44.85
Sravan Zebulon,2 BHK Flat for sale in Madipakkam Chennai,54,Ram Nagar MadipakkamChennai,850,6410,3,1,2 BHK,Chennai,62.1
Leela Towers KovilambakamRose Nagar KovilambakkamChennai,2 BHK Flat for sale in Kovilambakkam Chennai,45,Leela Towers KovilambakamRose Nagar KovilambakkamChennai,951,4730,3,1,2 BHK,Chennai,51.75
My Homes Nakshatra,3 BHK Flat for sale in Perumbakkam Chennai,77,Cheran Nagar PerumbakkamChennai,1380,5580,3,1,3 BHK,Chennai,88.55
Annamalai Colony SaligramamChennai,3 BHK Flat for sale in Saligramam Chennai,110,Annamalai Colony SaligramamChennai,1196,9200,3,0,3 BHK,Chennai,126.5
Ambattur Chennai,3 BHK Independent House for sale in Ambattur Chennai,420,Ambattur Chennai,4800,8750,5,1,3 BHK,Chennai,483
Jubliee Residences,2 BHK Flat for sale in Moolakazhani Chennai,36,Moolakazhani Chennai,690,5290,2,1,2 BHK,Chennai,41.4
Ashwanth Vedas,2 BHK Flat for sale in Kolathur Chennai,60,Lakshmipuram KolathurChennai,982,6110,3,0,2 BHK,Chennai,69
Guduvancheri Chennai,2 BHK Independent House for sale in Guduvancheri Chennai,36,Guduvancheri Chennai,600,6080,2,0,2 BHK,Chennai,41.4
Iswaryam FlatsVOC Nagar PammalChennai,2 BHK Flat for sale in Pammal Chennai,30,Iswaryam FlatsVOC Nagar PammalChennai,770,3900,2,0,2 BHK,Chennai,34.5
Lake View Apartment,2 BHK Flat for sale in Mathur Chennai,39,TNHB Layout MathurChennai,840,4700,3,1,2 BHK,Chennai,44.85
TK Jasmine Grove,3 BHK Independent House for sale in Mahindra World City Chennai,39,Mahindra World City Chennai,1650,2360,3,1,3 BHK,Chennai,44.85
Sai sivamThirumangalam Anna Nagar WestChennai,3 BHK Flat for sale in Anna Nagar West Chennai,153,Sai sivamThirumangalam Anna Nagar WestChennai,1340,11420,3,1,3 BHK,Chennai,175.95
Adityaram Nagar Phase 5,4 BHK Villa for sale in Panaiyur Chennai,260,Adityaram Nagar PanaiyurChennai,3500,7430,5,1,4 BHK,Chennai,299
CasaGrand Monte Carlo,3 BHK Flat for sale in Saidapet Chennai,244,Gotha Medu Housing Board SaidapetChennai,1881,12970,3,1,3 BHK,Chennai,280.6
Pacifica Happiness Towers,4 BHK Flat for sale in Padur Chennai,125,Padur Chennai,2232,5600,4,1,4 BHK,Chennai,143.75
Pacifica Aurum Villas,4 BHK Villa for sale in Padur Chennai,140,Padur Chennai,2117,6610,4,1,4 BHK,Chennai,161
Godrej Palm Grove,3 BHK Flat for sale in Chembarambakkam Chennai,94,Chembarambakkam Chennai,1426,6630,3,0,3 BHK,Chennai,108.1
Jain Inseli Park,2 BHK Flat for sale in Padur Chennai,60,Padur Chennai,1121,5350,3,1,2 BHK,Chennai,69
Pacifica Pride Towers,2 BHK Flat for sale in Padur Chennai,67,Padur Chennai,1261,5310,3,0,2 BHK,Chennai,77.05
Prestige Courtyards by Prestige Estates Projects Ltd.,3 BHK Flat for sale in Sholinganallur Chennai,132,Sholinganallur Chennai,1689,7820,3,1,3 BHK,Chennai,151.8
TVS Flourish,2 BHK Flat for sale in Padappai Chennai,45,Padappai Chennai,886,5080,3,0,2 BHK,Chennai,51.75
Purva Windermere,1 RK Flat for sale in Pallikaranai Chennai,45,Pallikaranai Chennai,620,7260,2,0,1 RK,Chennai,51.75
Golden Opulence by Golden Homes,2 BHK Flat for sale in Poonamallee Chennai,60,Poonamallee Chennai,1093,5490,3,1,2 BHK,Chennai,69
TVS Green Acres,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,70,Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1047,6680,3,0,2 BHK,Chennai,80.5
Casagrand Cherry Pick,3 BHK Flat for sale in Perumbakkam Chennai,85,Arasankazhani PerumbakkamChennai,1559,5450,3,1,3 BHK,Chennai,97.75
MP Montana,2 BHK Flat for sale in Thiruneermalai Chennai,50,Manikandan Nagar ThiruneermalaiChennai,853,5860,3,0,2 BHK,Chennai,57.5
SSM Nagar,3 BHK Flat for sale in Perungalathur Chennai,52,Perungalathur Chennai,1317,3950,3,0,3 BHK,Chennai,59.8
Alliance Galleria Residences,1 BHK Flat for sale in Old Pallavaram Chennai,52,Arulmurugan Nagar Old PallavaramChennai,618,8410,2,0,1 BHK,Chennai,59.8
Golden Luxury Villas by Golden Homes,3 BHK Villa for sale in Ekkatuthangal Chennai,290,Ekkatuthangal Chennai,1200,24170,3,0,3 BHK,Chennai,333.5
Aurum Villas,3 BHK Villa for sale in Padur Chennai,165,Padur Chennai,2150,7670,4,1,3 BHK,Chennai,189.75
Mahindra Nova,2 BHK Flat for sale in Chettipunyam Chennai,29,Chettipunyam Chennai,604,4800,2,1,2 BHK,Chennai,33.35
Chettipunyam Chennai,2 BHK Flat for sale in Chettipunyam Chennai,38,Chettipunyam Chennai,836,4540,3,0,2 BHK,Chennai,43.7
Kochar Neetu Arjun Garden,1 BHK Flat for sale in Gerugambakkam Chennai,72,Bharathi Nagar GerugambakkamChennai,1009,7130,3,1,1 BHK,Chennai,82.8
CasaGrand Primera,1 RK Flat for sale in Manapakkam Chennai,47,Periya Palayatamman Nagar ManapakkamChennai,425,11060,2,1,1 RK,Chennai,54.05
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,0,2 BHK,Chennai,51.75
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,125,Oragadam Ambattur Chennai,1545,8090,3,1,3 BHK,Chennai,143.75
Silversky Lakeside3,3 BHK Flat for sale in Puzhal Chennai,88,New Central Jail PuzhalChennai,1551,5700,3,0,3 BHK,Chennai,101.2
Casagrand Arena,3 BHK Villa for sale in Oragadam Ambattur Chennai,80,Oragadam Ambattur Chennai,1352,5920,3,0,3 BHK,Chennai,92
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,1,2 BHK,Chennai,51.75
MP Silver Bells,2 BHK Flat for sale in Kundrathur Chennai,45,Kundrathur Chennai,711,6330,2,0,2 BHK,Chennai,51.75
Sai Navarathinam,2 BHK Flat for sale in Korattur Chennai,72,Korattur Tank KoratturChennai,961,7490,3,0,2 BHK,Chennai,82.8
Jubliee Residences,1 BHK Flat for sale in Moolakazhani Chennai,24,Moolakazhani Chennai,482,4980,2,1,1 BHK,Chennai,27.6
CasaGrand Savoye,2 BHK Flat for sale in Karapakkam Chennai,72,Karapakkam Chennai,1037,6940,3,0,2 BHK,Chennai,82.8
Pacifica Aurum Villas by Pacifica Companies,4 BHK Flat for sale in Padur Chennai,150,Padur Chennai,2200,6820,4,1,4 BHK,Chennai,172.5
