Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Basudha Apartment,2 BHK Flat for sale in Sodepur Kolkata,23,H B Town SodepurKolkata,950,2420,3,0,2 BHK,Kolkata
Fortune Heights,2 BHK Flat for sale in Barasat Kolkata,38,Noapara BarasatKolkata,930,4090,3,0,2 BHK,Kolkata
Daspara ThakurpukurKolkata,2 BHK Flat for sale in Thakurpukur Kolkata,19,Daspara ThakurpukurKolkata,685,2850,2,1,2 BHK,Kolkata
Vivek Nagar GarfaKolkata,3 BHK Flat for sale in Garfa Kolkata,46,Vivek Nagar GarfaKolkata,1250,3680,3,0,3 BHK,Kolkata
Number:128/ASarat Ghosh Garden DhakuriaKolkata,3 BHK Flat for sale in Dhakuria Kolkata,40,Number:128/ASarat Ghosh Garden DhakuriaKolkata,700,5710,2,0,3 BHK,Kolkata
Hana Para KeshtopurKolkata,3 BHK Flat for sale in Keshtopur Kolkata,48,Hana Para KeshtopurKolkata,1450,3310,3,1,3 BHK,Kolkata
ML Porospathor Regency,3 BHK Flat for sale in Madhyamgram Kolkata,40,Ward 16 MadhyamgramKolkata,1067,3750,3,1,3 BHK,Kolkata
INDRAPRASTHA HRIDAYPUR Noapara BarasatKolkata,2 BHK Flat for sale in Barasat Kolkata,26,INDRAPRASTHA HRIDAYPUR Noapara BarasatKolkata,800,3250,3,0,2 BHK,Kolkata
Mayfair Residency,3 BHK Flat for sale in Hussainpur Kolkata,68,Madurdaha HussainpurKolkata,1280,5310,3,1,3 BHK,Kolkata
Jagatpur BaguiatiKolkata,2 BHK Flat for sale in Baguiati Kolkata,35,Jagatpur BaguiatiKolkata,800,4380,1,0,2 BHK,Kolkata
Poddar Radha Krishna Kunj,2 BHK Flat for sale in Rajarhat Kolkata,36,Gopalpur Gram RajarhatKolkata,912,3950,3,0,2 BHK,Kolkata
Eden Tolly Signature,3 BHK Flat for sale in Kabardanga Kolkata,65,Kabardanga Kolkata,1326,4900,3,0,3 BHK,Kolkata
Siddha Xanadu Condominium,3 BHK Flat for sale in Rajarhat Kolkata,100,Gopalpur Gram RajarhatKolkata,1455,6870,3,1,3 BHK,Kolkata
USHA NEERSector A East Kolkata TownshipKolkata,3 BHK Flat for sale in East Kolkata Township Kolkata,45,USHA NEERSector A East Kolkata TownshipKolkata,850,5290,3,1,3 BHK,Kolkata
Prakriti Residency,2 BHK Flat for sale in Barrackpore Kolkata,37,Anandapuri BarrackporeKolkata,857,4320,3,1,2 BHK,Kolkata
Hiland River,2 BHK Flat for sale in Mahheshtala Kolkata,30,Pal Para MahheshtalaKolkata,720,4170,2,1,2 BHK,Kolkata
Lakshminagar South Dum DumKolkata,4 BHK Independent House for sale in South Dum Dum Kolkata,100,Lakshminagar South Dum DumKolkata,1200,8330,3,0,4 BHK,Kolkata
Asirbad aprtmentReekjoyoni RajarhatKolkata,2 BHK Flat for sale in Rajarhat Kolkata,25,Asirbad aprtmentReekjoyoni RajarhatKolkata,765,3270,2,0,2 BHK,Kolkata
Larica Township,3 BHK Flat for sale in Barasat Kolkata,25,Barasat Kolkata,1148,2180,3,1,3 BHK,Kolkata
Arup Ratan Apartment,2 BHK Flat for sale in Garia Kolkata,36,Prantika GariaKolkata,950,3790,3,0,2 BHK,Kolkata
Raj AmritBlock M New AliporeKolkata,3 BHK Flat for sale in New Alipore Kolkata,155,Raj AmritBlock M New AliporeKolkata,1485,10440,3,1,3 BHK,Kolkata
Amarabati SodepurKolkata,2 BHK Flat for sale in Sodepur Kolkata,25,Amarabati SodepurKolkata,770,3250,2,0,2 BHK,Kolkata
Narayan apartment,3 BHK Flat for sale in Kasba Kolkata,89,Bosepukur KasbaKolkata,1500,5930,3,1,3 BHK,Kolkata
Panchatarani ApartmentAmarpalli South Dum DumKolkata,2 BHK Flat for sale in South Dum Dum Kolkata,18,Panchatarani ApartmentAmarpalli South Dum DumKolkata,833,2160,3,0,2 BHK,Kolkata
Maha Prabhu Apartment Joyshree BaranagarKolkata,2 BHK Flat for sale in Baranagar Kolkata,35,Maha Prabhu Apartment Joyshree BaranagarKolkata,930,3760,3,1,2 BHK,Kolkata
Central park NiketanBidhanpally JadavpurKolkata,2 BHK Flat for sale in Jadavpur Kolkata,45,Central park NiketanBidhanpally JadavpurKolkata,900,5000,3,1,2 BHK,Kolkata
Vriddhi Urban Heights,3 BHK Flat for sale in Kasba Kolkata,125,Rajdanga Gardens KasbaKolkata,1561,8010,3,1,3 BHK,Kolkata
Arpita ApartmentChinar Park Kolkata,2 BHK Flat for sale in Chinar Park Kolkata,32,Arpita ApartmentChinar Park Kolkata,1100,2980,3,0,2 BHK,Kolkata
Classic Enclave,2 BHK Flat for sale in Kasba Kolkata,51,Bosepukur KasbaKolkata,925,5510,3,0,2 BHK,Kolkata
Indraprastha Apartment,3 BHK Flat for sale in Kaikhali Kolkata,45,Biman Nagar KaikhaliKolkata,1200,3750,3,0,3 BHK,Kolkata
Poushali Abashan (Siriti Housing Estate),1 BHK Flat for sale in Tollygunge Kolkata,13,Rajendra Prasad Colony TollygungeKolkata,500,2600,2,1,1 BHK,Kolkata
Tinni Township BansdroniKolkata,3 BHK Flat for sale in Bansdroni Kolkata,65,Tinni Township BansdroniKolkata,1350,4810,3,1,3 BHK,Kolkata
Durga Plaza,2 BHK Flat for sale in Baguiati Kolkata,25,Jyangra BaguiatiKolkata,754,3310,2,0,2 BHK,Kolkata
Genexx ValleyPurbasan ThakurpukurKolkata,3 BHK Flat for sale in Thakurpukur Kolkata,60,Genexx ValleyPurbasan ThakurpukurKolkata,1245,4820,3,1,3 BHK,Kolkata
New Barrakpur Kolkata,5 BHK Independent House for sale in New Barrakpur Kolkata,100,New Barrakpur Kolkata,2700,3700,4,1,5 BHK,Kolkata
Sanhita Township Project,3 BHK Flat for sale in New Town Kolkata,33,New Town Kolkata,916,3600,3,1,3 BHK,Kolkata
Chakpachuria New TownKolkata,4 BHK Flat for sale in New Town Kolkata,132,Chakpachuria New TownKolkata,1739,7590,3,1,4 BHK,Kolkata
Dum Dum Park Kolkata,2 BHK Flat for sale in Dum Dum Park Kolkata,20,Dum Dum Park Kolkata,840,2380,3,0,2 BHK,Kolkata
Nirmal bhavanBeliaghata Kolkata,3 BHK Flat for sale in Beliaghata Kolkata,75,Nirmal bhavanBeliaghata Kolkata,900,8330,3,1,3 BHK,Kolkata
Maa Jagadhatri AppartmentMatagiri Harna Pally AgarparaKolkata,2 BHK Flat for sale in Agarpara Kolkata,16,Maa Jagadhatri AppartmentMatagiri Harna Pally AgarparaKolkata,600,2670,2,0,2 BHK,Kolkata
Dhakuria Kolkata,2 BHK Flat for sale in Dhakuria Kolkata,55,Dhakuria Kolkata,910,6040,3,1,2 BHK,Kolkata
Tarun ApartmentRajendra Prasad Colony TollygungeKolkata,2 BHK Flat for sale in Tollygunge Kolkata,26,Tarun ApartmentRajendra Prasad Colony TollygungeKolkata,550,4730,2,0,2 BHK,Kolkata
Goa Bagan ShyambazarKolkata,2 BHK Flat for sale in Shyambazar Kolkata,60,Goa Bagan ShyambazarKolkata,832,7210,3,0,2 BHK,Kolkata
Baranagar Kolkata,2 BHK Flat for sale in Baranagar Kolkata,35,Baranagar Kolkata,875,4000,3,0,2 BHK,Kolkata
Godrej Prakriti Phase 2,3 BHK Flat for sale in Sodepur Kolkata,60,Math Bagan SodepurKolkata,1254,4780,3,1,3 BHK,Kolkata
Kalaniketan Ambagan 67 Padmapukur RoadRajbari Dum DumKolkata,2 BHK Flat for sale in Dum Dum Kolkata,33,Kalaniketan Ambagan 67 Padmapukur RoadRajbari Dum DumKolkata,1035,3200,3,1,2 BHK,Kolkata
Pravesh Majestic Residency 2,3 BHK Flat for sale in Alipore Kolkata,65,Alipore Kolkata,1150,5650,3,0,3 BHK,Kolkata
Adya ma ApartmentDakshineswar Kolkata,2 BHK Flat for sale in Dakshineswar Kolkata,26,Adya ma ApartmentDakshineswar Kolkata,710,3660,2,1,2 BHK,Kolkata
571 N block new AliporeBlock N New AliporeKolkata,3 BHK Flat for sale in New Alipore Kolkata,200,571 N block new AliporeBlock N New AliporeKolkata,1950,10260,3,1,3 BHK,Kolkata
Preetish ApartmentBrahmapur Government Colony BramhapurKolkata,1 BHK Flat for sale in Bramhapur Kolkata,13,Preetish ApartmentBrahmapur Government Colony BramhapurKolkata,500,2600,2,1,1 BHK,Kolkata
ARBI 5th Avenue,2 BHK Flat for sale in Madhyamgram Kolkata,35,Madhyamgram Kolkata,810,4320,3,1,2 BHK,Kolkata
Rajpur sonarpurMission Pally NarendrapurKolkata,8 BHK Independent House for sale in Narendrapur Kolkata,8,Rajpur sonarpurMission Pally NarendrapurKolkata,2500,320000,4,1,8 BHK,Kolkata
Godrej Prakriti,2 BHK Flat for sale in Sodepur Kolkata,75,Math Bagan SodepurKolkata,995,7540,3,1,2 BHK,Kolkata
West WBHB Thakurpukur Housing Project Phase 1,2 BHK Flat for sale in Joka Kolkata,55,Biswas Para JokaKolkata,900,6110,3,1,2 BHK,Kolkata
SGIL residenzzaInternational Airport Dum DumKolkata,2 BHK Flat for sale in Dum Dum Kolkata,44,SGIL residenzzaInternational Airport Dum DumKolkata,996,4420,3,0,2 BHK,Kolkata
Makhla ApartmentDum Dum Park Kolkata,2 BHK Flat for sale in Dum Dum Park Kolkata,45,Makhla ApartmentDum Dum Park Kolkata,934,4820,3,1,2 BHK,Kolkata
Eden City Maheshtala,2 BHK Flat for sale in Mahheshtala Kolkata,21,Parbangla MahheshtalaKolkata,796,2640,2,0,2 BHK,Kolkata
RDB Regent Enclave,3 BHK Flat for sale in Kaikhali Kolkata,74,Biman Nagar KaikhaliKolkata,1300,5690,3,1,3 BHK,Kolkata
Ushoshi ApartmentRabindrapally BramhapurKolkata,3 BHK Flat for sale in Bramhapur Kolkata,30,Ushoshi ApartmentRabindrapally BramhapurKolkata,925,3240,3,1,3 BHK,Kolkata
Bamunpara Kolkata,2 BHK Independent House for sale in Bamunpara Kolkata,59,Bamunpara Kolkata,1200,4920,3,0,2 BHK,Kolkata
Starlite Sunny Seasons,3 BHK Flat for sale in Narendrapur Kolkata,70,Ramchandrapur NarendrapurKolkata,1230,5690,3,1,3 BHK,Kolkata
Matagiri Harna Pally AgarparaKolkata,4 BHK Independent House for sale in Agarpara Kolkata,50,Matagiri Harna Pally AgarparaKolkata,1500,3330,3,1,4 BHK,Kolkata
Gr floor in 4 storied buildingLake Gardens Kolkata,2 BHK Flat for sale in Lake Gardens Kolkata,42,Gr floor in 4 storied buildingLake Gardens Kolkata,650,6460,2,1,2 BHK,Kolkata
Daspara ThakurpukurKolkata,2 BHK Independent House for sale in Thakurpukur Kolkata,115,Daspara ThakurpukurKolkata,1300,8850,3,1,2 BHK,Kolkata
Dream World City,2 BHK Flat for sale in Pailan Kolkata,25,Daulatpur PailanKolkata,575,4350,2,0,2 BHK,Kolkata
Mayfair Bloom,3 BHK Flat for sale in Narendrapur Kolkata,28,Dakshin Jagatdal NarendrapurKolkata,920,3040,3,0,3 BHK,Kolkata
Noapara BarasatKolkata,2 BHK Independent House for sale in Barasat Kolkata,35,Noapara BarasatKolkata,736,4750,2,1,2 BHK,Kolkata
Divine niketan1925 Chak Garia SantoshpurKolkata,3 BHK Flat for sale in Santoshpur Kolkata,70,Divine niketan1925 Chak Garia SantoshpurKolkata,1350,5180,3,0,3 BHK,Kolkata
Gostotala new schemeBaidyapara GariaKolkata,2 BHK Flat for sale in Garia Kolkata,37,Gostotala new schemeBaidyapara GariaKolkata,877,4220,3,1,2 BHK,Kolkata
Sinjini Apartment,3 BHK Flat for sale in New Town Kolkata,60,New Town Kolkata,1280,4690,3,1,3 BHK,Kolkata
Bijoygarh Kolkata,2 BHK Flat for sale in Bijoygarh Kolkata,20,Bijoygarh Kolkata,610,3280,2,0,2 BHK,Kolkata
SwastikJadavpur University Campus Area JadavpurKolkata,4 BHK Flat for sale in Jadavpur Kolkata,85,SwastikJadavpur University Campus Area JadavpurKolkata,1700,5000,3,1,4 BHK,Kolkata
SHANTONEER APARTMENT BELGHARIAVerner Lane BelghoriaKolkata,2 BHK Flat for sale in Belghoria Kolkata,32,SHANTONEER APARTMENT BELGHARIAVerner Lane BelghoriaKolkata,907,3530,3,1,2 BHK,Kolkata
Maya Apartment,2 BHK Flat for sale in Garia Kolkata,25,Fartabad GariaKolkata,630,3970,2,1,2 BHK,Kolkata
Parnasree BehalaKolkata,8 BHK Independent House for sale in Behala Kolkata,100,Parnasree BehalaKolkata,2450,4080,4,1,8 BHK,Kolkata
Apartment Sikdar Para BehalaKolkata,3 BHK Flat for sale in Behala Kolkata,27,Apartment Sikdar Para BehalaKolkata,984,2740,3,0,3 BHK,Kolkata
Tk construction Madhyamgram Kolkata,1 BHK Flat for sale in Madhyamgram Kolkata,6,Tk construction Madhyamgram Kolkata,400,1630,2,1,1 BHK,Kolkata
SHYAMALIMANagerbazar Kolkata,2 BHK Flat for sale in Nagerbazar Kolkata,20,SHYAMALIMANagerbazar Kolkata,620,3230,2,1,2 BHK,Kolkata
Hai chai abasanBlock B KalyaniKolkata,3 BHK Flat for sale in Kalyani Kolkata,42,Hai chai abasanBlock B KalyaniKolkata,1000,4200,3,0,3 BHK,Kolkata
Swastik Apartment,2 BHK Flat for sale in Purba Barisha Kolkata,28,Silpara Purba BarishaKolkata,900,3110,3,1,2 BHK,Kolkata
Reekjoyoni RajarhatKolkata,2 BHK Flat for sale in Rajarhat Kolkata,22,Reekjoyoni RajarhatKolkata,800,2800,4,0,2 BHK,Kolkata
Debangan NibasBonhooghly on BT Road BaranagarKolkata,2 BHK Flat for sale in Baranagar Kolkata,33,Debangan NibasBonhooghly on BT Road BaranagarKolkata,818,4030,3,0,2 BHK,Kolkata
Bongaon Bangaon Kolkata,5 BHK Independent House for sale in Bangaon Kolkata,72,Bongaon Bangaon Kolkata,2600,2770,4,1,5 BHK,Kolkata
Kirti Apartments Purbasan ThakurpukurKolkata,2 BHK Flat for sale in Thakurpukur Kolkata,25,Kirti Apartments Purbasan ThakurpukurKolkata,715,3500,2,0,2 BHK,Kolkata
Gilt Apartments sonarpur future engineering college Sonarpur Kolkata,1 BHK Flat for sale in Sonarpur Kolkata,14,Gilt Apartments sonarpur future engineering college Sonarpur Kolkata,457,3200,2,1,1 BHK,Kolkata
Gilt apartments beside future engineering collegeSonarpur Kolkata,2 BHK Flat for sale in Sonarpur Kolkata,22,Gilt apartments beside future engineering collegeSonarpur Kolkata,707,3200,2,1,2 BHK,Kolkata
Niketan,2 BHK Flat for sale in Haltu Kolkata,45,Nandi Bagan HaltuKolkata,850,5290,3,1,2 BHK,Kolkata
Srijita xiBansdroni Government Colony BansdroniKolkata,3 BHK Flat for sale in Bansdroni Kolkata,60,Srijita xiBansdroni Government Colony BansdroniKolkata,1148,5230,3,1,3 BHK,Kolkata
Rishi Pranaya,3 BHK Flat for sale in New Town Kolkata,84,New Town Kolkata,1450,5790,3,0,3 BHK,Kolkata
BrindhavanBosepukur KasbaKolkata,3 BHK Flat for sale in Kasba Kolkata,72,BrindhavanBosepukur KasbaKolkata,1300,5540,3,1,3 BHK,Kolkata
Siddha Pines,2 BHK Flat for sale in Baguiati Kolkata,60,Jagatpur BaguiatiKolkata,985,6090,3,0,2 BHK,Kolkata
Eden Tolly Cascades,2 BHK Flat for sale in Ramchandrapur Kolkata,68,Ramchandrapur Kolkata,1251,5430,3,0,2 BHK,Kolkata
Aquaview,3 BHK Flat for sale in Salt Lake City Kolkata,107,Mohisbathan Salt Lake CityKolkata,1475,7250,3,0,3 BHK,Kolkata
Rajwada Greenshire,2 BHK Flat for sale in Kamalgazi Kolkata,38,Kamalgazi Kolkata,930,4090,3,1,2 BHK,Kolkata
Shapoorji Pallonji Shukhobrishti Complex,2 BHK Flat for sale in New Town Kolkata,30,Action Area III New TownKolkata,650,4690,2,0,2 BHK,Kolkata
Bengal Greenfield Elegance,3 BHK Flat for sale in Rajarhat Kolkata,95,Hatiara RajarhatKolkata,1499,6340,3,0,3 BHK,Kolkata
Siddha Happyville,3 BHK Flat for sale in Rajarhat Kolkata,65,Jagadishpur RajarhatKolkata,1077,6040,3,0,3 BHK,Kolkata
Unimark Springfield,3 BHK Flat for sale in New Town Kolkata,75,New Town Kolkata,1386,5410,3,0,3 BHK,Kolkata
Happyville,3 BHK Flat for sale in Rajarhat Kolkata,90,Jagadishpur RajarhatKolkata,1300,6920,3,0,3 BHK,Kolkata
Ideal Aquaview,2 BHK Flat for sale in Salt Lake City Kolkata,76,Mohisbathan Salt Lake CityKolkata,1090,6970,3,0,2 BHK,Kolkata
Eternis,2 BHK Flat for sale in Madhyamgram Kolkata,48,Srijoni Housing MadhyamgramKolkata,664,7230,2,1,2 BHK,Kolkata
Siddha Water Front,2 BHK Flat for sale in Rahara Kolkata,45,Sharada Pally RaharaKolkata,970,4640,3,1,2 BHK,Kolkata
Sugam Habitat,3 BHK Flat for sale in Tiljala Kolkata,130,Tiljala Kolkata,1600,8130,3,0,3 BHK,Kolkata
The 102,2 BHK Flat for sale in Pailan Kolkata,46,Daulatpur PailanKolkata,760,6050,2,1,2 BHK,Kolkata
Siddha Galaxia 2,3 BHK Flat for sale in New Town Kolkata,96,Majarhati New TownKolkata,1360,7060,3,1,3 BHK,Kolkata
Godrej Retreat at Godrej Prakriti,2 BHK Flat for sale in Sodepur Kolkata,40,Math Bagan SodepurKolkata,810,4940,3,1,2 BHK,Kolkata
Tata Housing Avenida,3 BHK Flat for sale in New Town Kolkata,205,New Town Kolkata,1880,10900,3,1,3 BHK,Kolkata
Atri Green Valley II,2 BHK Flat for sale in Rajpur Kolkata,34,Chowhati Battola Bazar RajpurKolkata,915,3710,3,0,2 BHK,Kolkata
Fortune Township,3 BHK Flat for sale in Barasat Kolkata,44,Barasat Kolkata,1522,2890,3,0,3 BHK,Kolkata
Siddha Eden Lakeville,2 BHK Flat for sale in Baranagar Kolkata,60,Bonhooghly on BT Road BaranagarKolkata,589,10190,2,1,2 BHK,Kolkata
Aryan Towers,1 RK Flat for sale in Madhyamgram Kolkata,25,Madhyamgram Kolkata,376,6650,1,1,1 RK,Kolkata
Siddha Water Front by Siddha Group,2 BHK Flat for sale in Khardah Kolkata,27,Kulinpara KhardahKolkata,552,4890,2,1,2 BHK,Kolkata
Siddha Town,2 BHK Flat for sale in Rajarhat Kolkata,33,Gopalpur Gram RajarhatKolkata,765,4310,2,1,2 BHK,Kolkata
PS Aurus,3 BHK Flat for sale in Tangra Kolkata,385,Tangra Kolkata,2150,17910,4,1,3 BHK,Kolkata
Siddha Suburbia,1 BHK Flat for sale in Baruipur Kolkata,32,Natunpara BaruipurKolkata,695,4600,2,1,1 BHK,Kolkata
Godrej Prakriti,2 BHK Flat for sale in Sodepur Kolkata,50,Amarabati SodepurKolkata,994,5030,3,0,2 BHK,Kolkata
Eden City Maheshtala,3 BHK Flat for sale in Mahheshtala Kolkata,48,Parbangla MahheshtalaKolkata,1236,3880,3,1,3 BHK,Kolkata
CB CB Enclave,3 BHK Flat for sale in Harinavi Kolkata,39,Harinavi Kolkata,1200,3250,3,0,3 BHK,Kolkata
CB CB Enclave,3 BHK Flat for sale in Harinavi Kolkata,39,Harinavi Kolkata,1200,3250,3,1,3 BHK,Kolkata
Ruchi Active Acres,3 BHK Flat for sale in Tangra Kolkata,115,Tangra Kolkata,1500,7670,3,1,3 BHK,Kolkata
Rajwada Springfield,3 BHK Flat for sale in Narendrapur Kolkata,65,Ramchandrapur NarendrapurKolkata,1505,4320,3,1,3 BHK,Kolkata
Ozone,2 BHK Flat for sale in Baruipur Kolkata,95,Natunpara BaruipurKolkata,1152,8250,3,0,2 BHK,Kolkata
Riddhi N S Tower,2 BHK Flat for sale in Rajarhat Kolkata,45,Rajarhat Kolkata,870,5170,3,0,2 BHK,Kolkata
Siddha Eden Lakeville,3 BHK Flat for sale in Baranagar Kolkata,76,Bonhooghly on BT Road BaranagarKolkata,1290,5890,3,0,3 BHK,Kolkata
Unimark Springfield,3 BHK Flat for sale in Baguiati Kolkata,80,Jagatpur BaguiatiKolkata,1343,5960,3,0,3 BHK,Kolkata
Siddha Suburbia,1 BHK Flat for sale in Baruipur Kolkata,30,Natunpara BaruipurKolkata,695,4450,2,0,1 BHK,Kolkata
Greentech Smart Homes,3 BHK Flat for sale in Vedic Village Kolkata,48,Vedic Village Kolkata,1365,3520,3,0,3 BHK,Kolkata
Natural City Laketown,3 BHK Flat for sale in Patipukur Kolkata,70,Patipukur Kolkata,1287,5500,3,1,3 BHK,Kolkata
Skyliner,2 BHK Flat for sale in Garia Kolkata,49,Fartabad GariaKolkata,1031,4750,3,1,2 BHK,Kolkata
Cambridge Green,4 BHK Flat for sale in Joka Kolkata,65,Bardhanpalli JokaKolkata,2000,3250,5,1,4 BHK,Kolkata
Siddha Happyville,3 BHK Flat for sale in Rajarhat Kolkata,82,Jagadishpur RajarhatKolkata,1400,5860,3,1,3 BHK,Kolkata
Clubtown Courtyard,2 BHK Flat for sale in Baguiati Kolkata,58,Jagatpur BaguiatiKolkata,1164,4980,3,1,2 BHK,Kolkata
Clubtown Courtyard,2 BHK Flat for sale in Rajarhat Kolkata,58,Hatiara RajarhatKolkata,1164,4980,3,0,2 BHK,Kolkata
Siddha Eden Lakeville,3 BHK Flat for sale in Baranagar Kolkata,90,Bonhooghly on BT Road BaranagarKolkata,1395,6450,3,0,3 BHK,Kolkata
Siddha Eden Lakeville,2 BHK Flat for sale in Baranagar Kolkata,64,Bonhooghly on BT Road BaranagarKolkata,1014,6310,3,0,2 BHK,Kolkata
Eden City Maheshtala,3 BHK Flat for sale in Mahheshtala Kolkata,35,Parbangla MahheshtalaKolkata,1377,2540,3,0,3 BHK,Kolkata
Siddha Eden Lakeville,2 BHK Flat for sale in Dunlop Kolkata,68,Bonhooghly on BT Road DunlopKolkata,1014,6710,3,1,2 BHK,Kolkata
Siddha Waterfront Phase II,1 BHK Flat for sale in Rahara Kolkata,21,Sharada Pally RaharaKolkata,640,3360,2,1,1 BHK,Kolkata
Larica Township,3 BHK Flat for sale in Barasat Kolkata,23,Barasat Kolkata,900,2560,3,1,3 BHK,Kolkata
Natural City Laketown,3 BHK Flat for sale in Patipukur Kolkata,70,Patipukur Kolkata,1287,5500,3,0,3 BHK,Kolkata
Natural City Laketown,3 BHK Flat for sale in Patipukur Kolkata,70,Patipukur Kolkata,1287,5500,3,0,3 BHK,Kolkata
Bengal Abasan Urban Sabujayan,2 BHK Flat for sale in Jagatipota Kolkata,70,Jagatipota Kolkata,1054,6640,3,0,2 BHK,Kolkata
Tirupati Paradise,2 BHK Flat for sale in Rajpur Kolkata,27,Chowhati Battola Bazar RajpurKolkata,999,2750,3,0,2 BHK,Kolkata
Tirupati Paradise,2 BHK Flat for sale in Rajpur Kolkata,28,Chowhati Battola Bazar RajpurKolkata,999,2800,3,1,2 BHK,Kolkata
GM Meena Residency,2 BHK Flat for sale in Teghoria Kolkata,39,Teghoria Kolkata,872,4590,3,0,2 BHK,Kolkata
Tirupati Paradise,3 BHK Flat for sale in Rajpur Kolkata,36,Chowhati Battola Bazar RajpurKolkata,1166,3090,3,1,3 BHK,Kolkata
2 BHK Flats In New townChakpachuria New TownKolkata,2 BHK Flat for sale in New Town Kolkata,43,2 BHK Flats In New townChakpachuria New TownKolkata,882,4880,3,0,2 BHK,Kolkata
Lake roadManoharpukur KalighatKolkata,3 BHK Flat for sale in Kalighat Kolkata,115,Lake roadManoharpukur KalighatKolkata,1350,8520,3,1,3 BHK,Kolkata
Airport Residency,2 BHK Flat for sale in Birati Kolkata,52,Mahajati Nagar BiratiKolkata,991,5250,3,0,2 BHK,Kolkata
Joy Hind Polly Anandapuri BarrackporeKolkata,2 BHK Flat for sale in Barrackpore Kolkata,46,Joy Hind Polly Anandapuri BarrackporeKolkata,890,5170,3,0,2 BHK,Kolkata
Aspira Joy,2 BHK Flat for sale in Panihati Kolkata,36,Swasti Nagar PanihatiKolkata,788,4660,2,0,2 BHK,Kolkata
1B live corner nayabadChit Kalikapur MukundapurKolkata,2 BHK Flat for sale in Mukundapur Kolkata,30,1B live corner nayabadChit Kalikapur MukundapurKolkata,770,3900,2,1,2 BHK,Kolkata
Noapara BarasatKolkata,2 BHK Flat for sale in Barasat Kolkata,25,Noapara BarasatKolkata,802,3120,3,1,2 BHK,Kolkata
Excel The Radhe Residency,3 BHK Flat for sale in Birati Kolkata,33,Mahajati Nagar BiratiKolkata,1200,2750,3,1,3 BHK,Kolkata
Rajendra Prasad Colony TollygungeKolkata,3 BHK Flat for sale in Tollygunge Kolkata,90,Rajendra Prasad Colony TollygungeKolkata,1360,6620,3,1,3 BHK,Kolkata
Hati Bagan ShyambazarKolkata,3 BHK Flat for sale in Shyambazar Kolkata,130,Hati Bagan ShyambazarKolkata,1525,8520,3,1,3 BHK,Kolkata
Aster morya more avenueSangati Colony Netaji NagarKolkata,3 BHK Flat for sale in Netaji Nagar Kolkata,70,Aster morya more avenueSangati Colony Netaji NagarKolkata,1050,6670,3,1,3 BHK,Kolkata
Dumdum plaza,3 BHK Flat for sale in South Dum Dum Kolkata,46,Bahiragath Colony South Dum DumKolkata,1300,3540,3,0,3 BHK,Kolkata
Tirupati Paradise,2 BHK Flat for sale in Rajpur Kolkata,30,Chowhati Battola Bazar RajpurKolkata,999,3000,3,1,2 BHK,Kolkata
RADHE KRISHNA APARTMENTGhosh Para KeshtopurKolkata,3 BHK Flat for sale in Keshtopur Kolkata,35,RADHE KRISHNA APARTMENTGhosh Para KeshtopurKolkata,1200,2920,3,0,3 BHK,Kolkata
Parnasree BehalaKolkata,2 BHK Flat for sale in Behala Kolkata,40,Parnasree BehalaKolkata,700,5710,2,1,2 BHK,Kolkata
Tirupati Paradise,3 BHK Flat for sale in Rajpur Kolkata,35,Chowhati Battola Bazar RajpurKolkata,1166,3000,3,0,3 BHK,Kolkata
Mk Panchsheel Vatika,2 BHK Flat for sale in Birati Kolkata,51,Pratiraksha Nagar BiratiKolkata,883,5780,3,0,2 BHK,Kolkata
Noapara BarasatKolkata,2 BHK Flat for sale in Barasat Kolkata,26,Noapara BarasatKolkata,750,3480,2,1,2 BHK,Kolkata
Udayan apartment,3 BHK Flat for sale in South Dum Dum Kolkata,75,Amarpalli South Dum DumKolkata,1583,4740,3,0,3 BHK,Kolkata
SGIL Gardenia,3 BHK Flat for sale in Narendrapur Kolkata,45,Ramchandrapur NarendrapurKolkata,1145,3930,3,0,3 BHK,Kolkata
Noapara BarasatKolkata,2 BHK Flat for sale in Barasat Kolkata,24,Noapara BarasatKolkata,890,2700,3,0,2 BHK,Kolkata
New Town Kolkata,2 BHK Flat for sale in New Town Kolkata,80,New Town Kolkata,970,8250,3,0,2 BHK,Kolkata
Baitalik Apartment,3 BHK Flat for sale in Haltu Kolkata,52,Sukhpally HaltuKolkata,1050,4950,3,1,3 BHK,Kolkata
NandanNandan Kanan SantoshpurKolkata,3 BHK Flat for sale in Santoshpur Kolkata,65,NandanNandan Kanan SantoshpurKolkata,1220,5330,3,1,3 BHK,Kolkata
Sarojini KutirDesh Bandhu Nagar BaguiatiKolkata,3 BHK Flat for sale in Baguiati Kolkata,42,Sarojini KutirDesh Bandhu Nagar BaguiatiKolkata,1250,3360,3,1,3 BHK,Kolkata
NBCC Vibgyor Towers,3 BHK Flat for sale in New Town Kolkata,75,Action Area I New TownKolkata,1336,5610,3,1,3 BHK,Kolkata
Ideal Ideal Enclave,2 BHK Flat for sale in Rajarhat Kolkata,56,Gopalpur Gram RajarhatKolkata,1180,4750,3,0,2 BHK,Kolkata
Tripura sundari apartmentBanerjee Para BoralKolkata,2 BHK Flat for sale in Boral Kolkata,40,Tripura sundari apartmentBanerjee Para BoralKolkata,850,4710,3,1,2 BHK,Kolkata
