Name,Property_Title,Price_InLakhs,Location,Total_Area,Price_per_SQFT,Baths,Balcony,Typeof_flat,City
Kamakshi Nagar AnakaputhurChennai,1 BHK Flat for sale in Anakaputhur Chennai,15,Kamakshi Nagar AnakaputhurChennai,490,3060,2,1,1 BHK,Chennai
Prestige Bella Vista,3 BHK Flat for sale in Iyyappanthangal Chennai,130,Iyyappanthangal Chennai,1791,7260,3,1,3 BHK,Chennai
Arun Excello Excello Town House,1 RK Flat for sale in Oragadam Sriperambattur Chennai,18,Oragadam Sriperambattur Chennai,500,3600,2,0,1 RK,Chennai
Rajparis Harmony,3 BHK Flat for sale in Medavakkam Chennai,78,Medavakkam Chennai,1512,5160,3,0,3 BHK,Chennai
BHARATHI Thirumullaivoyal Chennai,2 BHK Flat for sale in Thirumullaivoyal Chennai,48,BHARATHI Thirumullaivoyal Chennai,967,5010,3,1,2 BHK,Chennai
Ponmar Chennai,2 BHK Villa for sale in Ponmar Chennai,72,Ponmar Chennai,1669,4310,3,1,2 BHK,Chennai
Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,2 BHK Flat for sale in Kolapakkam - Vandalur Chennai,36,Sushil nagar Unamancheri Kolapakkam Kolapakkam - VandalurChennai,1065,3380,3,0,2 BHK,Chennai
Ozone Metrozone,4 BHK Flat for sale in Anna Nagar West Chennai,300,Thirumangalam Anna Nagar WestChennai,2661,11270,4,1,4 BHK,Chennai
K G Signature CityPanneer Nagar MogappairChennai,2 BHK Flat for sale in Mogappair Chennai,72,K G Signature CityPanneer Nagar MogappairChennai,1000,7200,3,0,2 BHK,Chennai
Chinnaiyan Colony PeramburChennai,10 BHK Independent House for sale in Perambur Chennai,650,Chinnaiyan Colony PeramburChennai,8000,8130,1,1,10 BHK,Chennai
TNHB LIG Block,1 BHK Flat for sale in Ayappakkam Chennai,17,Annanur AyappakkamChennai,640,2660,2,1,1 BHK,Chennai
Balambal Apartments,2 BHK Flat for sale in Virugambakkam Chennai,58,L & T Colony Phase II VirugambakkamChennai,960,6090,3,0,2 BHK,Chennai
Dwaraka flatsBhavani Nagar AyappakkamChennai,2 BHK Flat for sale in Ayappakkam Chennai,58,Dwaraka flatsBhavani Nagar AyappakkamChennai,1168,5010,3,1,2 BHK,Chennai
Surya Nagar KotturpuramChennai,3 BHK Flat for sale in Kotturpuram Chennai,230,Surya Nagar KotturpuramChennai,1650,13940,3,1,3 BHK,Chennai
ert  aprtmentPeriyar Nagar ChromepetChennai,2 BHK Flat for sale in Chromepet Chennai,40,ert  aprtmentPeriyar Nagar ChromepetChennai,763,5240,2,0,2 BHK,Chennai
Hansa Abhinav,2 BHK Flat for sale in Tiruvottiyur Chennai,45,Tiruvottiyur Chennai,836,5380,3,0,2 BHK,Chennai
ADWAITH SRINIVASAN FLATNanganallur Chennai,2 BHK Flat for sale in Nanganallur Chennai,40,ADWAITH SRINIVASAN FLATNanganallur Chennai,518,7800,2,0,2 BHK,Chennai
Vijaya Gardens ValasaravakkamChennai,6 BHK Independent House for sale in Valasaravakkam Chennai,300,Vijaya Gardens ValasaravakkamChennai,3500,8570,4,1,6 BHK,Chennai
Gothi Flats,2 BHK Flat for sale in West Mambalam Chennai,56,Ramakrishna Puram West MambalamChennai,620,9030,2,1,2 BHK,Chennai
Veppampattu Chennai,2 BHK Villa for sale in Veppampattu Chennai,30,Veppampattu Chennai,1000,3000,3,1,2 BHK,Chennai
GR Natarajan Sundaravedam,3 BHK Flat for sale in T Nagar Chennai,275,Parthasarathy Puram T NagarChennai,1495,18390,3,0,3 BHK,Chennai
Mathangi ApartmentsSamiyar Madam KodambakkamChennai,2 BHK Flat for sale in Kodambakkam Chennai,45,Mathangi ApartmentsSamiyar Madam KodambakkamChennai,560,8040,2,1,2 BHK,Chennai
